midx;midy;midz;chalcocite;bornite;recovery
18.96840896;-236.8007084;2545.918887;0.000469476;0.026206197;90.37416304
14.84962509;-236.8714737;2536.806773;0.003062197;0.003640903;89.88930752
10.73084122;-236.9422391;2527.69466;0.003355005;0.004001609;89.89835338
6.612057341;-237.0130044;2518.582546;0.000472773;0.000506434;89.93881922
2.493273467;-237.0837697;2509.470433;0.000503379;0.000545805;89.94433882
-1.625510407;-237.1545351;2500.358319;0.000472475;0.000517379;89.80971495
-5.744294281;-237.2253004;2491.246206;0.003617678;0.002071047;89.6545229
-9.863078155;-237.2960657;2482.134092;0.000527789;0.000508341;89.71212899
-13.98186203;-237.366831;2473.021979;0.002140974;0.000495345;88.43571634
-18.1006459;-237.4375964;2463.909865;0.0260419;0.001933339;82.62409555
-22.21942978;-237.5083617;2454.797752;0.185514624;0.002049679;70.07594863
-26.33821365;-237.579127;2445.685639;0.032827507;0.001975864;82.59013102
-30.45699752;-237.6498923;2436.573525;0.393711489;0.002142905;65.89999084
-34.5757814;-237.7206577;2427.461412;0.275817549;0.001878949;74.28503697
-38.69456527;-237.791423;2418.349298;0.266444419;0.00221117;75.57241961
-42.81334915;-237.8621883;2409.237185;0.350812157;0.002245542;71.22461926
-46.93213302;-237.9329536;2400.125071;0.402640458;0.003792082;74.28509944
-51.05091689;-238.003719;2391.012958;0.52174341;0.002015707;69.51772269
-55.16970077;-238.0744843;2381.900844;0.065658878;0.001916448;82.18665518
-59.28848464;-238.1452496;2372.788731;0.007357913;0.00213343;89.27144242
-63.40726852;-238.2160149;2363.676617;0.040435385;0.001954974;87.52407552
-67.52605239;-238.2867803;2354.564504;0.183285582;0.001777122;81.84735051
-71.64483626;-238.3575456;2345.45239;0.032574672;0.00182772;88.25603255
-75.76362014;-238.4283109;2336.340277;0.020574406;0.001926092;89.0952917
-79.88240401;-238.4990763;2327.228164;0.007093935;0.002070574;89.77798142
-84.00118789;-238.5698416;2318.11605;0.002090956;0.004926631;89.96760197
-88.11997176;-238.6406069;2309.003937;0.002030829;0.004648981;89.97038787
-92.23875563;-238.7113722;2299.891823;0.002037257;0.005077009;89.96746579
-96.35753951;-238.7821376;2290.77971;0.002022534;0.005090212;89.95862133
-100.4763234;-238.8529029;2281.667596;0.008540092;0.005925981;89.86287735
-104.5951073;-238.9236682;2272.555483;0.00214681;0.005449194;89.9357312
47.30776998;-237.0446625;2546.732616;0.000501897;0.001022139;89.94744737
43.55131491;-236.9765513;2537.465232;0.000479786;0.000585661;89.90571854
39.79485984;-236.9084401;2528.197848;0.000478545;0.00050784;89.90303935
36.03840477;-236.8403289;2518.930464;0.000551461;0.000668815;89.91444442
32.28194971;-236.7722177;2509.66308;0.000519881;0.058503413;91.08704707
28.52549464;-236.7041065;2500.395696;0.000510877;0.035600214;90.90994768
24.76903957;-236.6359953;2491.128312;0.00609808;0.009474002;88.92004565
21.0125845;-236.5678842;2481.860928;0.00539084;0.002842394;88.66714275
17.25612943;-236.499773;2472.593544;0.001012656;0.000519905;89.68363688
13.49967437;-236.4316618;2463.32616;0.000459303;0.00045289;89.89775592
9.743219297;-236.3635506;2454.058776;0.024884646;0.002017221;88.12935564
5.986764229;-236.2954394;2444.791392;0.013856014;0.002009203;88.98338878
2.230309161;-236.2273282;2435.524008;0.013284779;0.001932503;86.83586892
-1.526145908;-236.159217;2426.256624;0.099193282;0.001933067;77.78040721
-5.282600976;-236.0911058;2416.98924;0.347597841;0.001745492;65.84020683
-9.039056044;-236.0229946;2407.721856;0.191106326;0.001906969;70.96511554
-12.79551111;-235.9548834;2398.454472;0.326299198;0.001890894;60.63768234
-16.55196618;-235.8867722;2389.187088;0.070633917;0.001959079;76.18134354
-20.30842125;-235.8186611;2379.919704;0.028545808;0.002122136;87.74167053
-24.06487632;-235.7505499;2370.65232;0.053329295;0.001848723;87.00834484
-27.82133139;-235.6824387;2361.384936;0.003302603;0.001876838;89.85715705
-31.57778645;-235.6143275;2352.117552;0.003319136;0.001903272;89.86881911
-35.33424152;-235.5462163;2342.850168;0.013030394;0.001882092;89.50728035
-39.09069659;-235.4781051;2333.582784;0.006797096;0.001935882;89.78633573
-42.84715166;-235.4099939;2324.3154;0.021644091;0.005434032;89.6806852
-46.60360673;-235.3418827;2315.048016;0.001972353;0.004712707;89.9544378
-50.36006179;-235.2737715;2305.780632;0.007697289;0.005037355;89.86128382
-54.11651686;-235.2056603;2296.513248;0.019448412;0.005066396;89.3534736
-57.87297193;-235.1375491;2287.245864;0.007467297;0.004844476;89.84837551
-61.629427;-235.069438;2277.97848;0.001862844;0.062298174;90.09478246
-65.38588207;-235.0013268;2268.711096;0.002009058;0.131189085;90.28889821
-69.14233714;-234.9332156;2259.443712;0.012748835;0.593415873;91.52490971
-72.8987922;-234.8651044;2250.176328;0.200605486;0.652663157;87.72535289
-76.65524727;-234.7969932;2240.908944;0.028583898;0.129120878;88.68270029
-145.5581719;-194.6241396;2566.425392;0.703176981;0.003804178;60.44373498
-149.5244984;-194.4247398;2557.247783;0.586328483;0.002393177;60.33595653
-153.490825;-194.2253401;2548.070175;0.067217559;0.003949033;64.07028658
-157.4571515;-194.0259404;2538.892567;0.141387441;0.016064299;67.14462103
-161.423478;-193.8265407;2529.714959;0.006096498;0.007176024;87.79518876
-165.3898045;-193.6271409;2520.53735;0.007066191;0.00404801;88.7677871
-169.356131;-193.4277412;2511.359742;0.003700201;0.151642534;90.68148099
-173.3224576;-193.2283415;2502.182134;0.009722067;0.002697508;89.31989455
-177.2887841;-193.0289418;2493.004526;0.003505424;0.293663576;91.31866703
-181.2551106;-192.829542;2483.826917;0.003520707;0.10735446;90.07774668
-185.2214371;-192.6301423;2474.649309;0.022902088;0.014161451;89.33129547
-189.1877637;-192.4307426;2465.471701;0.448152898;0.002553344;81.00156215
-193.1540902;-192.2313429;2456.294092;0.036305229;0.003587255;89.12843455
-197.1204167;-192.0319431;2447.116484;0.030171633;0.066727676;89.25765302
-201.0867432;-191.8325434;2437.938876;0.035580366;0.183213143;89.74384799
-205.0530697;-191.6331437;2428.761268;0.006925517;0.286627923;91.34782546
-209.0193963;-191.433744;2419.583659;0.095871327;0.081982242;86.46772342
-212.9857228;-191.2343442;2410.406051;0.008105617;0.293074862;91.61295392
-216.9520493;-191.0349445;2401.228443;0.00759615;0.002782066;89.36279432
-220.9183758;-190.8355448;2392.050834;0.006966776;0.015809217;89.61520978
-224.8847024;-190.6361451;2382.873226;0.003523097;0.004079377;89.75301669
-228.8510289;-190.4367453;2373.695618;0.003065945;0.002142452;89.30477189
-232.8173554;-190.2373456;2364.51801;0.003684707;0.002119957;89.69367815
-236.7836819;-190.0379459;2355.340401;0.003461618;0.002051217;89.78758465
-240.7500084;-189.8385462;2346.162793;0.003827191;0.002257503;89.72411966
